City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hindaun,IN,54.61,clear sky,26.72,77.02,Shri Ganesham Resort and Water Park
3,Nikolskoye,RU,32.0,overcast clouds,59.7,30.79,Tourist House - Sablino
4,Colac,AU,60.01,overcast clouds,-38.33,143.58,Otway Gate Motel
6,Cape Town,ZA,62.01,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
7,Bay Roberts,CA,51.8,overcast clouds,47.6,-53.26,Stonewall Inn
13,Paamiut,GL,32.97,light snow,61.99,-49.67,Yeet Hotel
17,Ostrovnoy,RU,29.03,overcast clouds,68.05,39.51,
19,Albany,US,37.0,clear sky,42.6,-73.97,
20,Busselton,AU,61.79,overcast clouds,-33.65,115.33,Observatory Guest House
25,Hermanus,ZA,54.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
30,Markova,UA,27.97,overcast clouds,48.68,24.41,Kempinh
31,Mataura,NZ,57.0,overcast clouds,-46.19,168.86,Ellie's Villa
33,Narsaq,GL,32.0,broken clouds,60.92,-46.05,Hotel Narsaq
34,Katsuura,JP,53.01,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
35,Mar Del Plata,AR,66.2,light rain,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
36,East London,ZA,64.58,light rain,-33.02,27.91,Tu Casa
38,Fort Morgan,US,37.4,clear sky,40.25,-103.8,Hampton Inn Fort Morgan
39,Bluff,NZ,57.0,clear sky,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
40,Punta Arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
41,Sitka,US,46.4,moderate rain,57.05,-135.33,Westmark Sitka
42,Redmond,US,45.0,clear sky,47.67,-122.12,Seattle Marriott Redmond
43,Saint George,US,51.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
44,Bredasdorp,ZA,53.6,scattered clouds,-34.53,20.04,Bredasdorp Country Manor
45,Ribeira Grande,PT,57.09,scattered clouds,38.52,-28.7,Quinta da Meia Eira
48,San Quintin,MX,45.0,clear sky,30.48,-115.95,Old Mill Hotel
49,Coihaique,CL,48.2,broken clouds,-45.58,-72.07,Diego De Almagro Coyhaique
50,Ushuaia,AR,46.4,broken clouds,-54.8,-68.3,Albatros Hotel
53,Mao,ES,55.4,overcast clouds,39.89,4.27,ARTIEM Capri
61,Geraldton,AU,68.0,clear sky,-28.77,114.6,Broadwater Mariner Resort
62,Poltar,SK,28.4,mist,48.43,19.79,Ziar nad hroznom
65,Broken Hill,AU,68.0,overcast clouds,-31.95,141.43,Daydream Motel & Cottages
66,Zarechnyy,RU,34.0,overcast clouds,53.2,45.19,Постоялый Дом
67,Asyut,EG,53.6,clear sky,27.18,31.18,Florence Hotel Assiut
69,Santa Fe,AR,68.0,clear sky,-31.63,-60.7,Conquistador Hotel
70,Honningsvag,NO,37.74,overcast clouds,70.98,25.97,Nordkapp Vandrerhjem
72,Castro,BR,64.65,overcast clouds,-24.79,-50.01,CHACARA BAILLY
76,Bethel,US,41.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
77,Hailey,US,26.6,clear sky,43.52,-114.32,Wood River Inn & Suites
81,Goldap,PL,31.6,overcast clouds,54.31,22.3,Hotel Ventus Natural & Medical Spa
85,Nanortalik,GL,33.3,light snow,60.14,-45.24,"NTS Rooms, Nanortalik"
86,Qaqortoq,GL,32.0,broken clouds,60.72,-46.03,Hotel Qaqortoq
88,Paraiso,CR,69.8,fog,9.84,-83.87,Rinconcito Verde
92,Dikson,RU,30.94,snow,73.51,80.55,
98,Marsa Matruh,EG,53.6,clear sky,31.35,27.25,Beau Site
100,New Norfolk,AU,66.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
