City Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Kawalu,-7.38,108.21,73.6,85,100,1.45,ID,overcast clouds
1,Hindaun,26.72,77.02,54.61,55,0,1.81,IN,clear sky
2,Aykhal,66.0,111.5,-0.4,84,0,2.24,RU,clear sky
3,Nikolskoye,59.7,30.79,32.0,95,90,11.18,RU,overcast clouds
4,Colac,-38.33,143.58,60.01,76,94,1.99,AU,overcast clouds
5,Sawakin,19.11,37.33,76.42,73,78,15.86,SD,light rain
6,Cape Town,-33.93,18.42,62.01,77,20,17.22,ZA,few clouds
7,Bay Roberts,47.6,-53.26,51.8,100,90,2.24,CA,overcast clouds
8,Nome,64.5,-165.41,15.01,72,20,10.29,US,few clouds
9,Rikitea,-23.12,-134.97,76.75,80,100,12.12,PF,light rain
10,Muravlenko,63.79,74.52,-0.85,93,0,8.63,RU,clear sky
11,Hithadhoo,-0.6,73.08,82.15,69,5,9.17,MV,clear sky
12,Yellowknife,62.46,-114.35,6.01,84,90,11.41,CA,light snow
13,Paamiut,61.99,-49.67,32.97,87,100,7.47,GL,light snow
14,Georgetown,5.41,100.34,77.0,94,20,1.88,MY,few clouds
15,Kapaa,22.08,-159.32,78.8,69,40,19.46,US,scattered clouds
16,Muisne,0.6,-80.03,74.26,82,15,4.76,EC,few clouds
17,Ostrovnoy,68.05,39.51,29.03,95,100,33.98,RU,overcast clouds
18,Vaini,-21.2,-175.2,86.0,58,75,19.46,TO,broken clouds
19,Albany,42.6,-73.97,37.0,77,4,5.73,US,clear sky
20,Busselton,-33.65,115.33,61.79,56,100,6.08,AU,overcast clouds
21,Sao Filipe,14.9,-24.5,75.43,73,100,9.95,CV,overcast clouds
22,Anloga,5.79,0.9,78.8,88,20,2.24,GH,few clouds
23,Guaruja,-23.99,-46.26,79.0,26,77,3.0,BR,broken clouds
24,Butaritari,3.07,172.79,82.0,81,1,14.2,KI,clear sky
25,Hermanus,-34.42,19.23,54.0,92,74,7.27,ZA,broken clouds
26,Erenhot,43.65,111.98,4.41,92,0,7.09,CN,clear sky
27,Longyearbyen,78.22,15.64,24.8,79,75,20.8,SJ,light snow
28,Avarua,-21.21,-159.78,80.6,83,100,10.29,CK,overcast clouds
29,Gobabis,-22.45,18.97,73.4,56,81,2.24,NA,broken clouds
30,Markova,48.68,24.41,27.97,97,99,1.59,UA,overcast clouds
31,Mataura,-46.19,168.86,57.0,79,90,7.0,NZ,overcast clouds
32,Banda Aceh,5.56,95.32,78.31,78,100,5.35,ID,overcast clouds
33,Narsaq,60.92,-46.05,32.0,93,70,8.05,GL,broken clouds
34,Katsuura,35.13,140.3,53.01,50,75,9.17,JP,broken clouds
35,Mar Del Plata,-38.0,-57.56,66.2,93,90,3.36,AR,light rain
36,East London,-33.02,27.91,64.58,82,26,10.76,ZA,light rain
37,Megion,61.03,76.11,-4.0,76,90,4.21,RU,overcast clouds
38,Fort Morgan,40.25,-103.8,37.4,40,1,9.17,US,clear sky
39,Bluff,-46.6,168.33,57.0,79,10,7.0,NZ,clear sky
40,Punta Arenas,-53.15,-70.92,42.8,75,0,28.86,CL,clear sky
41,Sitka,57.05,-135.33,46.4,87,90,21.92,US,moderate rain
42,Redmond,47.67,-122.12,45.0,93,2,2.64,US,clear sky
43,Saint George,37.1,-113.58,51.8,20,1,1.03,US,clear sky
44,Bredasdorp,-34.53,20.04,53.6,87,28,3.36,ZA,scattered clouds
45,Ribeira Grande,38.52,-28.7,57.09,68,49,26.66,PT,scattered clouds
