City Id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Souillac,MU,2020-11-26 18:56:12,-20.52,57.52,75.2,78,40,9.17
1,Nouadhibou,MR,2020-11-26 18:56:12,20.93,-17.03,69.8,73,48,16.11
2,Bredasdorp,ZA,2020-11-26 18:56:12,-34.53,20.04,59.0,62,1,6.93
3,Forestville,US,2020-11-26 18:56:13,38.85,-76.88,68.0,63,1,5.82
4,Nynashamn,SE,2020-11-26 18:51:53,58.9,17.95,39.99,70,0,11.3
5,Upernavik,GL,2020-11-26 18:56:13,72.79,-56.15,10.22,94,100,2.44
6,Qaanaaq,GL,2020-11-26 18:56:13,77.48,-69.36,-8.81,68,0,4.74
7,Dikson,RU,2020-11-26 18:56:13,73.51,80.55,15.67,97,100,18.23
8,Hermanus,ZA,2020-11-26 18:56:13,-34.42,19.23,57.99,75,14,16.11
9,Angoche,MZ,2020-11-26 18:56:13,-16.23,39.91,80.33,79,0,12.08
10,Atar,MR,2020-11-26 18:56:13,20.52,-13.05,74.75,18,0,9.75
11,Saint George,US,2020-11-26 18:55:25,37.1,-113.58,51.01,33,1,3.36
12,Ariquemes,BR,2020-11-26 18:56:13,-9.91,-63.04,93.81,43,99,4.05
13,Trinidad,BO,2020-11-26 18:56:13,-14.83,-64.9,89.6,66,90,9.17
14,Cienaga,CO,2020-11-26 18:56:14,11.01,-74.25,91.0,68,45,1.01
15,Pangnirtung,CA,2020-11-26 18:56:14,66.15,-65.71,5.0,71,40,9.17
16,Paignton,GB,2020-11-26 18:56:14,50.44,-3.57,45.0,83,10,4.0
17,Cervo,ES,2020-11-26 18:56:14,43.67,-7.41,57.0,92,100,1.12
18,Agadez,NE,2020-11-26 18:56:14,19.75,10.25,62.87,30,6,4.32
19,Mar Del Plata,AR,2020-11-26 18:54:11,-38.0,-57.56,64.0,67,0,15.99
20,Mayor Pablo Lagerenza,PY,2020-11-26 18:56:14,-19.93,-60.77,99.88,31,58,9.8
21,East London,ZA,2020-11-26 18:56:15,-33.02,27.91,64.4,72,75,12.75
22,Comodoro Rivadavia,AR,2020-11-26 18:56:15,-45.87,-67.5,71.6,29,65,28.86
23,Yar-Sale,RU,2020-11-26 18:52:13,66.83,70.83,11.86,96,100,8.97
24,Porto Novo,BJ,2020-11-26 18:56:15,6.5,2.6,84.2,79,40,13.87
25,Inta,RU,2020-11-26 18:56:15,66.03,60.17,13.73,91,13,2.71
26,Salalah,OM,2020-11-26 18:56:15,17.02,54.09,78.8,69,0,2.24
27,Cidreira,BR,2020-11-26 18:52:02,-30.18,-50.21,76.5,84,100,2.93
28,Oranjemund,NA,2020-11-26 18:56:15,-28.55,16.43,61.56,76,0,21.54
29,Bengkulu,ID,2020-11-26 18:56:15,-3.8,102.27,75.92,94,100,9.22
30,Ushuaia,AR,2020-11-26 18:52:45,-54.8,-68.3,51.8,53,40,17.22
31,Puerto Colombia,CO,2020-11-26 18:56:15,10.99,-74.95,86.0,79,40,8.05
32,Port Alfred,ZA,2020-11-26 18:56:15,-33.59,26.89,63.9,73,86,15.03
33,Victoria,HK,2020-11-26 18:52:21,22.29,114.16,73.0,83,48,8.16
34,Sept-Iles,CA,2020-11-26 18:53:41,50.2,-66.38,24.01,85,99,2.24
35,Kingsport,US,2020-11-26 18:56:16,36.55,-82.56,68.0,59,40,12.75
36,Tasiilaq,GL,2020-11-26 18:56:16,65.61,-37.64,28.4,54,75,9.17
37,La Rioja,ES,2020-11-26 18:56:16,42.25,-2.5,53.01,93,75,5.82
38,Ostrovnoy,RU,2020-11-26 18:56:16,68.05,39.51,28.74,95,99,11.7
39,Port Elizabeth,ZA,2020-11-26 18:55:33,-33.92,25.57,62.6,82,20,14.99
40,Bingol,TR,2020-11-26 18:56:16,38.88,40.49,35.74,74,42,8.19
41,Goderich,CA,2020-11-26 18:53:26,43.75,-81.72,42.8,100,100,10.29
42,Hobyo,SO,2020-11-26 18:56:17,5.35,48.53,81.1,78,9,17.36
43,Abu Dhabi,AE,2020-11-26 18:51:56,24.47,54.37,77.0,61,0,5.82
44,Sault Sainte Marie,CA,2020-11-26 18:54:14,46.52,-84.33,41.0,80,90,4.7
45,Busselton,AU,2020-11-26 18:56:17,-33.65,115.33,48.99,86,100,3.74
46,Walvis Bay,NA,2020-11-26 18:56:17,-22.96,14.51,59.0,77,0,8.05
47,Phuthaditjhaba,ZA,2020-11-26 18:56:17,-28.52,28.82,59.56,34,0,5.37
48,Springbok,ZA,2020-11-26 18:56:17,-29.66,17.89,61.02,39,0,8.68
49,Urumqi,CN,2020-11-26 18:56:14,43.8,87.6,23.0,73,100,2.24
50,Sovetskiy,RU,2020-11-26 18:56:17,61.36,63.58,15.24,96,100,6.71
51,Elat,IL,2020-11-26 18:53:26,29.56,34.95,71.6,43,40,5.82
52,Correntina,BR,2020-11-26 18:55:57,-13.34,-44.64,80.51,57,37,7.83
53,Buchanan,LR,2020-11-26 18:56:18,5.88,-10.05,80.6,88,75,6.93
54,Mahebourg,MU,2020-11-26 18:56:18,-20.41,57.7,75.2,78,40,9.17
55,Charlottetown,CA,2020-11-26 18:54:58,46.24,-63.13,41.0,86,90,2.24
56,Saint-Philippe,RE,2020-11-26 18:56:18,-21.36,55.77,75.2,83,51,17.22
57,Jamestown,US,2020-11-26 18:52:31,42.1,-79.24,50.0,93,90,12.75
58,Georgetown,MY,2020-11-26 18:54:22,5.41,100.34,78.8,88,20,2.24
59,Tete,MZ,2020-11-26 18:56:18,-16.16,33.59,89.6,49,40,6.93
60,Inhambane,MZ,2020-11-26 18:56:18,-23.86,35.38,80.01,94,6,7.07
61,Henties Bay,NA,2020-11-26 18:56:18,-22.12,14.28,59.0,86,0,1.99
62,Raga,SS,2020-11-26 18:56:19,8.46,25.68,79.52,27,5,4.52
63,Cape Town,ZA,2020-11-26 18:54:59,-33.93,18.42,64.0,63,20,19.46
64,Yashkul,RU,2020-11-26 18:56:19,46.17,45.34,36.45,78,100,6.85
65,Carutapera,BR,2020-11-26 18:56:19,-1.2,-46.02,84.24,70,95,8.97
66,Koslan,RU,2020-11-26 18:56:19,63.46,48.9,19.71,96,99,7.11
67,Ribeira Grande,PT,2020-11-26 18:56:19,38.52,-28.7,60.8,77,75,1.12
68,Arraial Do Cabo,BR,2020-11-26 18:56:19,-22.97,-42.03,82.4,69,0,28.86
69,Kavaratti,IN,2020-11-26 18:56:19,10.57,72.64,82.11,77,34,11.41
70,Keighley,GB,2020-11-26 18:53:17,53.87,-1.91,43.0,100,20,6.93
71,Sohag,EG,2020-11-26 18:52:01,26.56,31.69,62.6,51,0,6.93
72,Aksarayskiy,RU,2020-11-26 18:56:20,46.79,48.01,33.8,86,75,6.71
73,Chuy,UY,2020-11-26 18:56:20,-33.7,-53.46,70.5,51,3,16.96
74,Sawakin,SD,2020-11-26 18:56:20,19.11,37.33,80.26,75,64,16.67
75,Namibe,AO,2020-11-26 18:56:20,-15.2,12.15,73.11,74,14,7.7
76,Bud,US,2020-11-26 18:56:20,39.45,-86.18,48.99,93,90,5.82
77,San Cristobal,VE,2020-11-26 18:56:20,7.77,-72.22,82.4,69,40,2.24
78,Barcelos,PT,2020-11-26 18:56:20,41.54,-8.62,57.2,76,100,5.82
79,Rocha,UY,2020-11-26 18:56:21,-34.48,-54.33,68.27,42,0,15.12
80,Necochea,AR,2020-11-26 18:53:29,-38.55,-58.74,66.0,54,0,16.78
81,Rio Grande,BR,2020-11-26 18:51:44,-32.03,-52.1,82.4,61,40,13.87
82,Hithadhoo,MV,2020-11-26 18:56:21,-0.6,73.08,82.27,78,100,12.71
83,Jalu,LY,2020-11-26 18:56:21,29.03,21.55,56.88,66,0,4.09
84,Harper,LR,2020-11-26 18:56:21,4.38,-7.72,78.19,88,79,7.72
85,Mbanza-Ngungu,CD,2020-11-26 18:56:21,-5.25,14.87,70.74,96,100,1.63
86,Borisoglebskiy,RU,2020-11-26 18:56:21,57.26,39.15,30.2,92,90,8.95
87,Kapoeta,SS,2020-11-26 18:56:21,4.77,33.59,85.42,45,91,3.09
88,Sambava,MG,2020-11-26 18:56:21,-14.27,50.17,76.17,84,66,9.82
89,Sidi Ali,DZ,2020-11-26 18:56:22,36.1,0.42,63.34,46,100,15.82
90,Morondava,MG,2020-11-26 18:56:22,-20.28,44.28,79.92,77,30,11.01
91,Taoudenni,ML,2020-11-26 18:56:22,22.68,-3.98,69.39,25,100,4.45
92,Plettenberg Bay,ZA,2020-11-26 18:56:22,-34.05,23.37,60.84,72,66,5.95
93,Faya,SA,2020-11-26 18:56:22,18.39,42.45,60.8,82,40,1.83
94,Pisco,PE,2020-11-26 18:56:22,-13.7,-76.22,68.0,77,40,12.75
95,Hofn,IS,2020-11-26 18:56:22,64.25,-15.21,39.27,72,95,39.3
96,Maceio,BR,2020-11-26 18:56:22,-9.67,-35.74,84.2,66,75,13.87
97,Moose Factory,CA,2020-11-26 18:56:22,51.26,-80.61,35.6,91,90,9.17
98,Najran,SA,2020-11-26 18:56:23,17.49,44.13,75.2,29,20,6.93
99,Alta Floresta,BR,2020-11-26 18:56:23,-9.88,-56.09,84.34,67,91,3.29
100,Marsabit,KE,2020-11-26 18:56:23,2.33,37.99,71.31,75,25,11.65
101,Cuenca,EC,2020-11-26 18:56:23,-2.88,-78.98,73.4,38,75,3.36
102,Sinnamary,GF,2020-11-26 18:56:23,5.38,-52.95,82.29,77,76,10.25
103,Korocha,RU,2020-11-26 18:56:23,50.81,37.2,37.4,93,75,6.71
104,Ponta Do Sol,PT,2020-11-26 18:56:23,32.67,-17.1,59.0,54,40,14.99
105,Brae,GB,2020-11-26 18:56:23,60.4,-1.35,46.4,75,40,14.99
106,Cockburn Town,TC,2020-11-26 18:54:38,21.46,-71.14,80.6,69,40,14.99
107,Longyearbyen,SJ,2020-11-26 18:56:24,78.22,15.64,23.0,57,75,10.29
108,Izmalkovo,RU,2020-11-26 18:56:24,52.69,37.96,32.77,97,100,12.48
109,Aksarka,RU,2020-11-26 18:56:24,66.56,67.8,8.94,96,100,7.61
110,Camopi,GF,2020-11-26 18:56:24,3.17,-52.32,92.17,39,0,5.21
111,Sisimiut,GL,2020-11-26 18:56:24,66.94,-53.67,19.87,89,100,2.37
112,Saint-Francois,FR,2020-11-26 18:56:24,46.42,3.91,48.99,81,0,3.36
113,Fernandopolis,BR,2020-11-26 18:56:24,-20.28,-50.25,91.36,33,65,10.27
114,Holme,DK,2020-11-26 18:56:24,56.11,10.17,42.8,87,0,9.17
115,Bay Roberts,CA,2020-11-26 18:51:26,47.6,-53.26,39.2,80,90,11.41
116,Peniche,PT,2020-11-26 18:56:24,39.36,-9.38,55.0,81,45,10.0
117,Congleton,GB,2020-11-26 18:52:26,53.16,-2.21,45.0,83,36,3.24
118,Tashla,RU,2020-11-26 18:56:24,51.77,52.74,25.09,99,98,2.13
119,Sechura,PE,2020-11-26 18:56:25,-5.56,-80.82,74.79,57,14,17.74
120,Bambous Virieux,MU,2020-11-26 18:56:25,-20.34,57.76,75.99,78,40,9.17
121,Maniitsoq,GL,2020-11-26 18:56:25,65.42,-52.9,23.74,93,100,16.22
122,Cayenne,GF,2020-11-26 18:56:25,4.93,-52.33,87.8,66,20,14.99
123,Rodrigues Alves,BR,2020-11-26 18:56:25,-7.74,-72.65,75.2,94,75,8.05
124,Banikoara,BJ,2020-11-26 18:56:25,11.3,2.44,82.2,24,0,0.47
125,Blechepsin,RU,2020-11-26 18:56:25,44.82,40.5,36.61,87,48,2.15
126,Pangody,RU,2020-11-26 18:56:25,65.85,74.49,12.11,95,100,9.64
127,Seydisehir,TR,2020-11-26 18:56:26,37.42,31.85,36.23,76,99,3.69
128,Yenagoa,NG,2020-11-26 18:56:26,4.92,6.26,77.43,90,15,3.89
129,Molina,CL,2020-11-26 18:54:23,-35.12,-71.28,93.99,26,0,12.75
